nom répertoire photo|adresse site|Nom 1|Nom3|Nom 2|Nom latin|Nom latin2|Nom anglais|Ordre:famille|Fleur en groupe/Fleur isolée|Inflorescence|Fleur/sans fleur|Couleur de la fleur|Couleur 2|Aspect de la fleur|Particularité|Aspect réformé|Nombre de pétales, tépales ou lobes|Forme de la fleur Régulière/Irrégulière|Type de feuille|disposition des feuilles|Tige pubescente/glabre/épine|Feuille pubescente 1/ Feuille pubescente 2/Feuille glabre|FIN
Cardere_sauvage|http://abiris.snv.jussieu.fr/flore/descriptions/Cardere_sauvage.html|Cardère sauvage||Cabaret des oiseaux|Dipsacus fullonum||Fuller's teasel|Dipsacaceae|isolée|solitaire|avec|rose||composée||CLOT|>10|régulière, irrégulière|simple dentée|opposées|épine|glabre|
Carotte_sauvage|http://abiris.snv.jussieu.fr/flore/descriptions/Carotte_sauvage.html|Carotte sauvage|||Daucus carota||wild carrot|Apiaceae|ombelle|groupe|avec|blanc||5 pétales||PSER, PSI|5|régulière|composée|alternes|pubescente|pubescente1|
Centauree_jacee|http://abiris.snv.jussieu.fr/flore/descriptions/Centauree_jacee.html|Centaurée jacée||Tête de moineau|Centaurea jacea||Brown Knapweed|Asteraceae|isolée|solitaire|avec|rose||composée||CLOT|>10|irrégulière|simple dentée|alternes|pubescente|pubescente2|
Cephalantere_blanche|http://abiris.snv.jussieu.fr/flore/descriptions/Cephalanthere_blanche.html|Céphalanthère blanche|Céphalanthère à grandes fleurs|Céphalanthère de Damas|Cephalanthera damasonium||White Helleborine|Orchidaceae|épi|groupe|avec|blanc||orchidée|orchidée|PSI|6|irrégulière|simple entière|alternes|glabre|glabre|
Cephalantere_rouge|http://abiris.snv.jussieu.fr/flore/descriptions/Cephalanthere_rouge.html|Céphalanthère rouge|||Cephalanthera rubra||Red Helleborine|Orchidaceae|épi|groupe|avec|rose||orchidée|orchidée|PSI|6|irrégulière|simple entière|alternes|pubescente|glabre|
Ceraiste_agglomere|http://abiris.snv.jussieu.fr/flore/descriptions/Ceraiste_agglomere.html|Ceraiste aggloméré|||Cerastium glomeratum||sticky mouse-ear chickweed|Caryophyllaceae|cyme|groupe|avec|blanc||5 pétales|échancré|PSER|5|régulière|simple entière|opposées|pubescente|pubescente2|
Ceraiste_commun|http://abiris.snv.jussieu.fr/flore/descriptions/Ceraiste_commun.html|Céraiste commun||céraiste des fontaines|Cerastium fontanum||Mouse-ear chickweed|Caryophyllaceae|cyme|groupe|avec|blanc||5 pétales|échancré|PSER|5|régulière|simple entière|opposées|pubescente|pubescente2|
Ceraiste_des_champs|http://abiris.snv.jussieu.fr/flore/descriptions/Ceraiste_des_champs.html|Céraiste des champs|||Cerastium arvense||field chickweed|Caryophyllaceae|cyme|groupe|avec|blanc||5 pétales|échancré|PSER|5|régulière|simple entière|opposées|pubescente|pubescente2|
Cerfeuil_des_bois|http://abiris.snv.jussieu.fr/flore/descriptions/Cerfeuil_des_bois.html|Cerfeuil des bois|Cerfeuil des prés|Cerfeuil sauvage|Anthriscus sylvestris||cow parsley|Apiaceae|ombelle|groupe|avec|blanc||5 pétales||PSER, PSI|5|régulière, irrégulière|composée|alternes|pubescente|pubescente2|
Cherophylle_penche|http://abiris.snv.jussieu.fr/flore/descriptions/Cerfeuil_penche.html|Cerfeuil penché||Cerfeuil enivrant|Chaerophyllum temulum||rough chervil|Apiaceae|ombelle|groupe|avec|blanc||5 pétales|échancré|PSER, PSI|5|régulière, irrégulière|composée|alternes|pubescente|pubescente2|
Chanvre_cultive|http://abiris.snv.jussieu.fr/flore/descriptions/Chanvre_cultive.html|Chanvre cultivé||Cannabis|Cannabis sativa||marijuana|Cannabaceae|grappe|groupe|avec|vert||sans corolle||autre|0|régulière, irrégulière|composée|opposées|pubescente|pubescente2|
Chardon_crepu|http://abiris.snv.jussieu.fr/flore/descriptions/Chardon_crepu.html|Chardon crépu|||Carduus crispus|| Welted thistle|Asteraceae|grappe|groupe|avec|rose||composée||CLOT|>10|régulière|divisée|alternes|épine|pubescente2|
Chardon_penche|http://abiris.snv.jussieu.fr/flore/descriptions/Chardon_penche.html|Chardon penché|||Carduus nutans||Musk thistle|Asteraceae|grappe, isolée|solitaire|avec|rose||composée||CLOT|>10|régulière|divisée|alternes|épine, pubescente|pubescente1|
